State Name,State Code,SDPC Member (Yes/No),Primary State Student Data Privacy Laws (with statute numbers),"Federal Laws (FERPA, PPRA, COPPA)",State Education Agency Name,State Data Privacy Contact Email,State Data Privacy Contact Phone,"Required State Roles (Data Manager, Security Officer, Records Officer - with statute references)",Key Compliance Requirements,State DOE Privacy Website URL,DPA Template Available (Yes/No),Notes on AI Governance Policies,Source
,,,,,Primary Laws: Student Data Privacy (Nev. Rev. Stat. § 388.281 / SB 463),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: Guidance Released,,,,,,,,
,,,,,NEW HAMPSHIRE (Row 31) - ALREADY COMPLETE,,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: Student and Teacher Information Protection and Privacy (N.H. Rev. Stat. § 189:66 / HB 1612),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: Guidance Released,,,,,,,,
,,,,,NEW JERSEY (Row 32) - ALREADY COMPLETE,,,,,,,,
,,,,,SDPC: Yes (NJSDPC / A4L / NJETA),,,,,,,,
,,,,,"Primary Laws: A4978 (SOPPA-NJ), S332 (NJDPA)",,,,,,,,
,,,,,"Federal Laws: FERPA, COPPA",,,,,,,,
,,,,,"AI Governance: Active ($1.5M FY2025 funding, TeachAI initiative, Office of Innovation)",,,,,,,,
,,,,,NEW MEXICO (Row 33) - ALREADY COMPLETE,,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,"Primary Laws: FERPA only (HM 54, HM 20 for AI study)",,,,,,,,
,,,,,"Federal Laws: FERPA, COPPA",,,,,,,,
,,,,,"AI Governance: Exploring (AI Work Group HM 2, NM Digital Equity in Education Act guidance May 2025)",,,,,,,,
,,,,,NEW YORK (Row 34),,,,,,,,
,,,,,SDPC: Yes (RIC One - Regional Information Centers),,,,,,,,
,,,,,Primary Laws: Education Law § 2-d,,,,,,,,
,,,,,"Federal Laws: FERPA, PPRA, COPPA",,,,,,,,
,,,,,"AI Governance: Pending/New Legislation (LOADinG Act - Legislative Oversight of Automated Decision-making in Government, requires agencies to maintain inventories of automated decision tools, AI Bill of Rights proposed)",,,,,,,,
,,,,,NORTH CAROLINA (Row 35),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,"Primary Laws: FERPA only (SB 2295 public disclosure exemptions for higher ed research records, no K-12 specific privacy act)",,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,"AI Governance: Guidance Released (NCDPI ""CRAFT"" prompting framework guidebook)",,,,,,,,
,,,,,NORTH DAKOTA (Row 36),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: FERPA only,,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: Guidance Released (State guidance including implementation roadmap and checklist),,,,,,,,
,,,,,OHIO (Row 37),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: Student Data Privacy / Technology Providers (Ohio Rev. Code § 3319.325 - § 3319.327 / SB 29),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: Mandatory (State law requires all K-12 public schools to adopt AI policies by mid-2026; state released a toolkit to support this),,,,,,,,
,,,,,OKLAHOMA (Row 38),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,"Primary Laws: Student Data Accessibility, Transparency, and Accountability Act (70 O.S. § 3-168 / HB 1989)",,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,"AI Governance: Guidance Released (OSDE ""AI Acceptable Use Rating Scale"")",,,,,,,,
,,,,,OREGON (Row 39),,,,,,,,
,,,,,SDPC: Yes (Oregon Student Data Privacy Alliance),,,,,,,,
,,,,,Primary Laws: Oregon Student Information Protection Act (OSIPA) (Or. Rev. Stat. § 336.184 / SB 187),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: Guidance Released (ODE guidance addressing equity impacts and policy development),,,,,,,,
,,,,,PENNSYLVANIA (Row 40),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: FERPA only (2025 legislation focuses on CSAM),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,"AI Governance: Exploring (Legislation pending to establish Keystone AI Authority, no K-12 specific framework found)",,,,,,,,
,,,,,RHODE ISLAND (Row 41),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: Student Data Privacy (Cloud Computing) (R.I. Gen. Laws § 16-103-1 / HB 7124),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: Guidance Released (RIDE comprehensive framework including procurement checklists and grade-level use cases),,,,,,,,
,,,,,SOUTH CAROLINA (Row 42),,,,,,,,
,,,,,SDPC: Yes (South Carolina Department of Education funds district participation),,,,,,,,
,,,,,Primary Laws: Data Collection and Privacy (S.C. Code Ann. § 59-1-490 / HB 3893),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: No AI governance found,,,,,,,,
,,,,,SOUTH DAKOTA (Row 43),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: Student Privacy and Data Protection (S.D. Codified Laws § 13-3-51 / SB 63),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: No AI governance found (Legislation focused on political deepfakes),,,,,,,,
,,,,,TENNESSEE (Row 44),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,"Primary Laws: Student Data Accessibility, Transparency, and Accountability Act (Tenn. Code Ann. § 49-1-309 / SB 1835), ELVIS Act (HB 2091 - AI voice/likeness security)",,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,"AI Governance: Mandatory (Public Chapter 550 mandates all districts adopt AI policies, TSBA provided a model policy)",,,,,,,,
,,,,,TEXAS (Row 45),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,"Primary Laws: HB 18 (SCOPE Act - parental consent for data collection), HB 2087 (restricts operator use)",,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,"AI Governance: Exploring (State established AI Advisory Council, requires state agencies to inventory systems, but no specific K-12 guidance document listed)",,,,,,,,
,,,,,UTAH (Row 46),,,,,,,,
,,,,,"SDPC: Yes (Utah Student Privacy Alliance - USPA, managed by Utah State Board of Education)",,,,,,,,
,,,,,"Primary Laws: Student Data Protection Act (SDPA) (Utah Code § 53E-9-301 et seq.), Student Privacy Act (Utah Code § 53E-9-203), Board Rule R277-487, AI Policy Act SB 149",,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,"AI Governance: Guidance Released (USBE ""Artificial Intelligence Framework for Utah P-12 Education"" V2, established Office of AI Policy, consumer AI disclosure laws enacted)",,,,,,,,
,,,,,VERMONT (Row 47),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: FERPA only,,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,"AI Governance: No AI governance found (Legislation focuses on state government inventory, no K-12 framework found)",,,,,,,,
,,,,,VIRGINIA (Row 48),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: School Service Providers / Student Data (Va. Code Ann. § 22.1-289.01 / HB 1612),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: Guidance Released (VDOE guidelines emphasizing balance of benefits with privacy and equity),,,,,,,,
,,,,,WASHINGTON (Row 49),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: SUPER Act (Student User Privacy in Education Rights) (RCW 28A.604 / SB 5419),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,"AI Governance: Guidance Released (OSPI ""Human-Centered AI Guidance"" utilizing H-AI-H model)",,,,,,,,
,,,,,WEST VIRGINIA (Row 50),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,"Primary Laws: Student Data Accessibility, Transparency, and Accountability Act (W. Va. Code § 18-2-5h / HB 4316)",,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: Guidance Released (WVDE guidance emphasizing computational thinking),,,,,,,,
,,,,,WISCONSIN (Row 51),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,"Primary Laws: FERPA only (No comprehensive state-specific student data privacy statute, sources note ethical AI guidelines)",,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,"AI Governance: Guidance Released (DPI ""Human > AI > Human"" guidance for K-12 and libraries)",,,,,,,,
,,,,,WYOMING (Row 52),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: Student Data Privacy and Security (Wyo. Stat. Ann. § 21-2-202 / SF 79),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: Guidance Released (WDE framework for policy development and student AI usage continuum),,,,,,,,
,,,,,═══════════════════════════════════════════════════════,,,,,,,,
,,,,,END OF COMPREHENSIVE DATA GUIDE,,,,,,,,
,,,,,,,,,,,,,
,,,,,SUMMARY STATISTICS:,,,,,,,,
,,,,,"- Total States with SDPC Alliance Membership: 9 (CA, HI, ME, MS, NJ, NY, OR, SC, UT)",,,,,,,,
,,,,,"- States with FERPA Only: 7 (AL, AK, IN, NC, ND, PA, VT, WI)",,,,,,,,
,,,,,- States with Comprehensive Privacy Laws: 35+,,,,,,,,
,,,,,"- States with Mandatory AI Policies: 3 (MD, OH, TN)",,,,,,,,
,,,,,- States with AI Guidance Released: 38,,,,,,,,
,,,,,- States Exploring AI: 6,,,,,,,,
,,,,,- States with No AI Governance: 5,,,,,,,,
,,,,,ALL DATA COLLECTED FROM NOTEBOOKLM WITH 229 SOURCES,,,,,,,,
,,,,,READY FOR IMMEDIATE SPREADSHEET POPULATION,,,,,,,,
